Ajd close;date
340.78;01/10/2020
385.59;01/11/2020
409.46;01/12/2020
430.99;01/01/2021
476.99;01/02/2021
467.41;01/03/2021
505.85;01/04/2021
519.23;01/05/2021
535.98;01/06/2021
541.13;01/07/2021
527.37;01/08/2021
557.71;01/09/2021
588.21;01/10/2021
522.44;01/11/2021
561.18;01/12/2021
623.78;01/01/2022
673.05;01/02/2022
724.19;01/03/2022
756.75;01/04/2022
786.45;01/05/2022
709.23;01/06/2022
692.64;01/07/2022
665.93;01/08/2022
607.76;01/09/2022
636.84;01/10/2022
621.11;01/11/2022
610.07;01/12/2022
606.06;01/01/2023
597.60;01/02/2023
597.60;01/03/2023
