"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2014","38.68","42.09","42.14","38.60","100.58K","-8.08%"
"04/01/2014","42.08","40.55","43.75","40.48","59.75K","3.90%"
"03/01/2014","40.50","41.98","45.10","40.05","213.46K","-3.27%"
"02/01/2014","41.87","38.23","42.10","37.82","349.41K","9.46%"
"01/01/2014","38.25","39.52","39.53","37.47","267.44K","-3.14%"
"12/01/2013","39.49","40.91","41.45","39.25","430.61K","-3.35%"
"11/01/2013","40.86","42.03","42.85","40.47","341.66K","-2.69%"
"10/01/2013","41.99","41.45","42.80","39.53","263.54K","1.43%"
"09/01/2013","41.40","44.67","45.10","41.25","485.66K","-6.53%"
"08/01/2013","44.29","42.41","45.32","41.57","678.23K","4.43%"
"07/01/2013","42.41","45.91","47.07","42.30","150.11K","-7.62%"
"06/01/2013","45.91","48.17","49.12","45.27","114.69K","-4.77%"
"05/01/2013","48.21","49.04","50.14","48.08","119.93K","-1.69%"
"04/01/2013","49.04","50.35","50.76","47.97","102.00K","-2.58%"
"03/01/2013","50.34","49.52","51.13","48.97","208.35K","1.86%"
"02/01/2013","49.42","53.58","54.26","49.36","364.05K","-7.73%"
"01/01/2013","53.56","51.04","53.65","49.51","353.33K","6.74%"
"12/01/2012","50.18","50.24","51.85","48.40","467.31K","-0.10%"
"11/01/2012","50.23","50.88","51.68","47.35","375.22K","-1.41%"
"10/01/2012","50.95","52.77","53.31","50.34","349.64K","-3.87%"
"09/01/2012","53.00","58.04","58.60","52.03","553.57K","-7.15%"
"08/01/2012","57.08","53.27","57.85","51.25","721.13K","7.72%"
"07/01/2012","52.99","52.99","55.38","51.74","142.54K","0.76%"
"06/01/2012","52.59","49.74","52.75","48.15","178.41K","5.96%"
"05/01/2012","49.63","55.30","55.68","49.00","134.17K","-10.14%"
"04/01/2012","55.23","55.89","57.98","54.98","123.32K","-0.84%"
"03/01/2012","55.70","54.82","56.34","53.30","196.99K","1.51%"
"02/01/2012","54.87","51.71","55.65","51.67","253.80K","6.09%"
"01/01/2012","51.72","53.50","54.15","50.57","190.84K","-2.01%"
"12/01/2011","52.78","50.07","53.01","48.71","302.60K","5.71%"
"11/01/2011","49.93","51.66","53.25","48.78","312.11K","-3.59%"
"10/01/2011","51.79","50.31","54.23","49.10","214.62K","2.60%"
"09/01/2011","50.48","58.93","59.14","50.30","526.64K","-14.54%"
"08/01/2011","59.07","56.02","59.23","52.85","658.93K","5.48%"
"07/01/2011","56.00","55.25","58.37","55.06","109.83K","0.99%"
"06/01/2011","55.45","59.35","59.98","54.75","156.76K","-6.08%"
"05/01/2011","59.04","58.66","59.48","55.12","109.91K","0.36%"
"04/01/2011","58.83","59.29","61.14","56.80","101.07K","-1.23%"
"03/01/2011","59.56","57.89","60.15","53.50","224.98K","2.94%"
"02/01/2011","57.86","58.80","61.02","54.53","336.93K","-1.55%"
"01/01/2011","58.77","58.50","59.50","56.37","249.90K","0.05%"
"12/01/2010","58.74","51.33","58.99","51.25","458.54K","14.19%"
"11/01/2010","51.44","50.22","55.71","48.39","298.21K","2.86%"
"10/01/2010","50.01","45.35","50.83","43.71","237.05K","10.18%"
"09/01/2010","45.39","40.09","45.77","39.82","427.71K","13.33%"
"08/01/2010","40.05","40.25","43.39","39.50","563.60K","-0.22%"
