Date;Food;Fertil;GPRH;Metal;Oil;Raw_Material;Temperature Anomalies;VIX;Euro_Dollars;Viande;Huile;Wheat;Sucre
2009-02-01;84,2;165,59260471911;63,048900604248;51,01072497992;39,09;80,22268918425;0,55;46,349998;1,2669;82,53;31,44;510,5;13,47
2009-03-01;84;168,55288169239;56,752571105957;51,82135539392;47,94;78,97737129744;0,57;44,139999;1,3251;83,92;34,08;532,75;12,67
2009-04-01;87,2;142,70543158016;69,484733581543;56,73932440549;49,65;80,48511577248;0,62;36,5;1,3226;87,55;36,68;524,25;14,05
2009-05-01;93,3;132,28813214059;77,4302444458008;59,4276484875;59,03;83,84312133003;0,59;28,92;1,4154;81,33;39,38;637,25;15,58
2009-06-01;93,3;119,83838118735;71,3568878173828;65,56631045343;69,64;81,43486478736;0,67;26,35;1,4036;82,53;35,39;511,25;16,81
2009-07-01;90,7;99,30528189271;69,4314956665039;69,66553685381;64,15;79,58147708544;0,66;25,92;1,425;84,7;35,42;528,25;18,61
2009-08-01;93,5;95,2825541619;59,9464569091797;81,62767897716;71,05;81,76544062566;0,72;26,01;1,4331;82,67;35,6;471;24,39
2009-09-01;93;86,16500694625;74,6005020141602;77,94030774342;69,41;83,39609212935;0,72;25,610001;1,4636;85,6;34,75;457,5;24,12
2009-10-01;94,8;87,76069828741;81,0394668579102;80,52635177315;75,72;85,72595444901;0,64;30,690001;1,4718;81,65;37,16;494,25;22,16
2009-11-01;98,8;87,97362127379;66,1575241088867;84,69645851051;77,99;88,33438164472;0,7;24,51;1,5009;83,2;40,97;586,5;22,07
2009-12-01;100,7;90,8197949482;84,3959808349609;90,2933621993;74,47;88,9993231662;0,65;21,68;1,4318;86;41,16;541,13;26,95
2010-01-01;101,5;92,95092522958;78,1244277954102;96,57673688045;78,33;90,50494403337;0,73;24,620001;1,3863;85,8;37,03;473,13;29,9
2010-02-01;99;96,69123089563;71,459846496582;91,1065927433;76,39;90,00649525949;0,79;19,5;1,3626;90,3;40,13;519,13;24,13
2010-03-01;96,3;95,00324637649;58,7095680236816;99,41678341999;81,2;91,68938317681;0,88;17,59;1,3512;96,55;38,96;450,38;16,59
2010-04-01;96,8;92,46111912296;72,4843063354492;108,14545826422;84,29;96,86876013971;0,85;22,049999;1,3298;99,92;39,11;505,13;15,05
2010-05-01;96,3;88,18066369539;85,6720504760742;96,01636655021;73,74;96,68567810901;0,77;32,07;1,2306;90,53;38,07;458,38;14,19
2010-06-01;95,8;85,40078787376;95,8710174560547;89,09092808728;75,34;97,215394504;0,74;34,540001;1,2236;91,25;36,6;479,25;18,03
2010-07-01;100;92,2909882514;66,1782073974609;89,19850455079;76,32;96,59183612301;0,73;23,5;1,3048;92,65;40,14;661,38;19,57
2010-08-01;107,7;98,26055790433;74,3933029174805;97,58761195116;76,6;99,27813525641;0,69;26,049999;1,2687;97,25;40,05;689,38;19,75
2010-09-01;114,1;107,41757334552;63,366771697998;100,63755177404;75,24;102,16155140084;0,62;23,700001;1,3633;96,7;45,39;676,13;25,3
2010-10-01;120,1;112,34859694017;57,8123893737793;108,27305434035;81,89;107,45805474338;0,63;21,200001;1,395;98,85;50,01;727,38;29,12
2010-11-01;124,1;118,15945731259;82,3155975341797;109,42690316234;84,25;113,96373973158;0,75;23,540001;1,298;103,08;51,44;689,63;27,55
2010-12-01;129,3;120,83485305219;79,6795043945312;114,52350827588;89,15;117,5760275224;0,46;17,75;1,3379;107,9;58,74;792,63;32,12
2011-01-01;133,7;120,67260400446;67,2546234130859;120,8067798945;89,17;124,47226877434;0,46;19,530001;1,3686;108,95;58,77;838,63;33,97
2011-02-01;137,6;115,47620323966;70,897575378418;125,81963076352;88,58;134,22646926134;0,45;18,35;1,3802;110,25;57,86;816,38;32,51
2011-03-01;134,3;111,73001285908;101,096504211426;121,37058532795;102,86;131,99465333192;0,6;17,74;1,4165;121,55;59,56;759,13;27,11
2011-04-01;136,4;110,52139944702;76,1161727905273;124,28530280696;109,53;134,5554041357;0,62;14,75;1,4799;117,05;58,83;804,13;23,38
